Time	[0:22]	[0:23]	[0:24]	[0:25]	[0:26]	[12:1]	[12:2]	[12:3]	[12:4]	[12:6]	[12:7]	[12:8]	[12:9]	[12:10]	[12:11]	[13:0]	[13:2]	[13:4]	[13:6]	[14:21]	[14:22]	[14:23]	[14:24]	[14:25]	[35:12]	[36:12]	[37:12]	[38:12]	[39:12]
time	Std1LinSpdRef	Std2LinSpdRef	Std3LinSpdRef	Std4LinSpdRef	Std5LinSpdRef	InterStd12TenRef	InterStd23TenRef	InterStd34TenRef	InterStd45TenRef	InterStd01TenActFlt	InterStd12TenActFlt	InterStd23TenActFlt	InterStd34TenActFlt	InterStd45TenActFlt	InterStd5TenrTenActFlt	X0.ThkAct	X1.ThkAct	X4.ThkAct	X5A.ThkAct	Std1ThkRef	Std2ThkRef	Std3ThkRef	Std4ThkRef	Std5ThkRef	1#HgcSrgActOS	2#HgcSrgActOS	3#HgcSrgActOS	4#HgcSrgActOS	5#HgcSrgActOS	
0.076	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252688	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764877	1.31895	2.96024
0.078	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252688	1.505	0.934	0.607	0.37	0.252	1.76299	0.862991	0.764877	1.31895	2.96024
0.08	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.25264	1.505	0.934	0.607	0.37	0.252	1.76378	0.862991	0.764999	1.31895	2.96104
0.082	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.25264	1.505	0.934	0.607	0.37	0.252	1.76378	0.862991	0.764999	1.31895	2.96104
0.084	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.25264	1.505	0.934	0.607	0.37	0.252	1.76378	0.862991	0.764999	1.31895	2.96104
0.086	195.116	314.183	482.114	801.36	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.25264	1.505	0.934	0.607	0.37	0.252	1.76378	0.862991	0.764999	1.31895	2.96104
0.088	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252673	1.505	0.934	0.607	0.37	0.252	1.76398	0.862991	0.765656	1.31934	2.96124
0.09	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252673	1.505	0.934	0.607	0.37	0.252	1.76398	0.862991	0.765656	1.31934	2.96124
0.092	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252673	1.505	0.934	0.607	0.37	0.252	1.76398	0.862991	0.765656	1.31934	2.96124
0.094	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252673	1.505	0.934	0.607	0.37	0.252	1.76398	0.862991	0.765656	1.31934	2.96124
0.096	195.252	314.298	482.29	801.653	1200	17.832	11.762	7.928	4.94	11.1075	18.3295	11.8268	7.95433	4.90666	1.46568	2.17945	1.4948	0.370612	0.252673	1.505	0.934	0.607	0.37	0.252	1.76398	0.862991	0.765656	1.31934	2.96124
